time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-01-19T13:04:10.270Z,-60.25,-26.4712,10,4.7,mb,,79,14.679,0.53,us,us10004fkm,2016-04-06T17:30:27.040Z,"135km S of Bristol Island, South Sandwich Islands",earthquake,12.9,1.9,0.098,32,reviewed,us,us
2016-01-19T21:45:27.990Z,-30.4423,-71.6339,28.45,4,mwr,,185,0.23,0.65,us,us10004gfl,2016-04-06T17:30:27.040Z,"45km WNW of Ovalle, Chile",earthquake,5.7,5.9,0.063,24,reviewed,us,us
2016-01-20T00:09:44.770Z,-56.5562,-28.1603,144.27,4,mb,,137,5.261,1.26,us,us20004uqd,2016-04-06T17:30:27.040Z,"61km WNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,9.7,9.8,0.164,10,reviewed,us,us
2016-01-20T07:24:50.730Z,-30.5749,-71.6757,29.27,4.5,mb,,107,0.104,0.92,us,us20004uqq,2016-04-06T17:30:28.040Z,"45km W of Ovalle, Chile",earthquake,6.1,3.6,0.192,8,reviewed,us,us
2016-01-21T06:07:02.290Z,-30.5467,-71.2939,56.11,4.2,mb,,118,0.32,0.84,us,us10004fzl,2016-04-06T17:30:29.040Z,"10km WNW of Ovalle, Chile",earthquake,6.8,9.7,0.371,2,reviewed,us,us
2016-01-21T13:36:09.800Z,-30.3896,-71.5533,42.32,4.2,mwr,,176,0.291,0.83,us,us10004g3e,2016-04-06T17:30:29.040Z,"41km NW of Ovalle, Chile",earthquake,6.1,6.5,0.05,39,reviewed,us,us
2016-01-21T19:52:44.000Z,-22.017,-68.527,108.4,4.1,mb,,,,1.02,us,us10004g5x,2016-04-06T17:30:30.040Z,"65km NE of Calama, Chile",earthquake,7.6,6.1,0.198,7,reviewed,guc,us
2016-01-22T07:03:52.520Z,-32.588,-67.5462,27.45,3.9,mwr,,47,1.419,0.5,us,us10004ga5,2016-04-08T23:06:08.040Z,"102km ENE of San Martin, Argentina",earthquake,6.8,3.6,0.053,34,reviewed,us,us
2016-01-23T18:08:22.050Z,-28.9632,-66.6107,18.09,3.6,md,,96,3.076,1.41,us,us10004gmx,2016-04-08T23:06:10.040Z,"46km SSE of Arauco, Argentina",earthquake,3.6,5.1,,,reviewed,us,sja
2016-01-24T00:31:56.000Z,-21.719,-68.469,120.1,4.4,mb,,,,0.96,us,us10004gp4,2016-04-08T23:06:10.040Z,"95km NNE of Calama, Chile",earthquake,5.6,3.1,0.143,14,reviewed,guc,us
2016-01-24T12:15:52.080Z,-24.2256,-67.356,176.44,4.1,mb,,141,2.149,0.96,us,us20004vfw,2016-04-08T23:06:11.040Z,"105km W of San Antonio de los Cobres, Argentina",earthquake,12.7,9.2,0.37,2,reviewed,us,us
2016-01-24T12:52:05.630Z,-23.1972,-66.6054,198.25,4.7,mb,,32,2.204,1,us,us10004gs9,2016-04-08T23:06:11.040Z,"93km W of El Aguilar, Argentina",earthquake,7.1,5.7,0.072,58,reviewed,us,us
