time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
1999-03-29T12:56:07.050Z,-59.037,-25.741,33,4.6,mb,,,,0.47,us,usp00095e5,2014-11-07T01:07:17.526Z,"South Sandwich Islands region",earthquake
1999-03-26T14:27:44.840Z,-57.932,-25.639,76.1,5.3,mwc,,,,0.94,us,usp000957u,2015-02-11T17:16:55.000Z,"South Sandwich Islands region",earthquake
1999-03-24T00:29:58.340Z,-56.45,-27.32,119.7,4.2,mb,,,,1.03,us,usp000952c,2014-11-07T01:07:15.976Z,"South Sandwich Islands region",earthquake
1999-03-21T05:15:14.090Z,-55.822,-27.845,100,4.1,mb,,,,0.81,us,usp00094vm,2014-11-07T01:07:15.259Z,"South Sandwich Islands region",earthquake
1999-03-17T06:05:33.690Z,-59.853,-26.431,33,4.4,mb,,,,0.72,us,usp00094nj,2014-11-07T01:07:14.202Z,"South Sandwich Islands region",earthquake
1999-03-10T21:55:12.520Z,-60.599,-28.987,33,4.6,mb,,,,1.48,us,usp000948w,2014-11-07T01:07:12.890Z,"South Sandwich Islands region",earthquake
1999-03-10T09:57:08.730Z,-54.862,-30.975,33,4.6,mb,,,,0.94,us,usp000947t,2014-11-07T01:07:12.658Z,"South Sandwich Islands region",earthquake
1999-03-08T13:35:12.730Z,-56.39,-27.432,100,4.9,mb,,,,1.07,us,usp000943j,2014-11-07T01:07:12.093Z,"South Sandwich Islands region",earthquake
1999-02-27T05:05:39.910Z,-57.798,-26.259,139.2,4.3,mb,,,,0.91,us,usp00093hp,2014-11-07T01:07:05.385Z,"South Sandwich Islands region",earthquake
1999-02-15T01:12:23.480Z,-56.133,-27.31,33,4.7,mb,,,,0.81,us,usp00092uh,2014-11-07T01:07:01.752Z,"South Sandwich Islands region",earthquake
1999-02-08T04:41:34.430Z,-56.164,-27.607,100,4.5,mb,,,,0.48,us,usp00092f9,2014-11-07T01:07:00.400Z,"South Sandwich Islands region",earthquake
1999-02-07T06:27:42.920Z,-58.656,-25.324,33,4.5,mb,,,,0.92,us,usp00092dg,2014-11-07T01:07:00.058Z,"South Sandwich Islands region",earthquake
1999-01-20T02:39:55.760Z,-57.455,-25.064,33,4.6,mb,,,,1.28,us,usp00091ck,2014-11-07T01:06:49.991Z,"South Sandwich Islands region",earthquake
1999-01-05T18:39:56.030Z,-59.684,-26.149,33,4.2,mb,,,,0.67,us,usp00090p6,2014-11-07T01:06:46.901Z,"South Sandwich Islands region",earthquake
1999-01-05T18:10:23.850Z,-59.617,-26.018,33,5.3,mwc,,,,0.84,us,usp00090p2,2015-02-11T17:16:53.000Z,"South Sandwich Islands region",earthquake
1999-01-02T09:27:23.120Z,-59.358,-28.677,300,4,mb,,,,0.77,us,usp00090hj,2014-11-07T01:06:45.711Z,"South Sandwich Islands region",earthquake
1998-12-26T12:14:37.490Z,-56.483,-27.366,109.8,5.6,mwc,,,,0.89,us,usp0009074,2015-05-13T18:53:40.000Z,"South Sandwich Islands region",earthquake
1998-12-24T23:49:20.360Z,-56.039,-27.799,103.8,4.4,mb,,,,1.01,us,usp0009049,2014-11-07T01:06:41.600Z,"South Sandwich Islands region",earthquake
1998-12-20T01:12:51.330Z,-56.554,-26.662,100,4.9,mb,,,,1.19,us,usp0008zwq,2014-11-07T01:06:40.852Z,"South Sandwich Islands region",earthquake
1998-12-19T15:28:38.860Z,-57.794,-25.531,33,4.4,mb,,,,0.7,us,usp0008zw0,2014-11-07T01:06:40.712Z,"South Sandwich Islands region",earthquake
1998-12-14T09:22:41.060Z,-58.823,-25.263,33,4.8,mb,,,,0.82,us,usp0008zkt,2014-11-07T01:06:39.117Z,"South Sandwich Islands region",earthquake
1998-12-13T21:05:36.140Z,-58.647,-28.157,100,4.9,mb,,,,1.18,us,usp0008zk1,2014-11-07T01:06:39.032Z,"South Sandwich Islands region",earthquake
1998-12-12T17:42:42.640Z,-59.695,-27.722,100,4.7,mb,,,,1.26,us,usp0008zhk,2014-11-07T01:06:38.759Z,"South Sandwich Islands region",earthquake
1998-12-05T07:19:27.070Z,-59.677,-26.84,33,5.4,mwc,,,,0.91,us,usp0008z6p,2015-02-11T17:16:52.000Z,"South Sandwich Islands region",earthquake
1998-12-04T18:29:51.960Z,-55.611,-28.274,33,5.1,mb,,,,1.28,us,usp0008z5y,2014-11-07T01:06:36.048Z,"South Sandwich Islands region",earthquake
1998-11-28T20:27:40.850Z,-56.143,-27.291,150,4.3,mb,,,,0.77,us,usp0008yvt,2014-11-07T01:06:30.534Z,"South Sandwich Islands region",earthquake
1998-11-23T03:23:31.860Z,-58.985,-26.24,112.4,4.4,mb,,,,0.55,us,usp0008ymp,2014-11-07T01:06:28.568Z,"South Sandwich Islands region",earthquake
1998-11-19T05:36:14.380Z,-57.415,-24.868,33,4.6,mb,,,,1.47,us,usp0008ye3,2014-11-07T01:06:27.935Z,"South Sandwich Islands region",earthquake
1998-11-16T20:35:26.500Z,-58.027,-25.382,33,5.3,mwc,,,,0.99,us,usp0008yak,2015-02-11T17:16:52.000Z,"South Sandwich Islands region",earthquake
1998-11-15T13:27:04.080Z,-60.275,-47.477,10,5.5,mwc,,,,1.07,us,usp0008y8g,2015-02-11T17:16:52.000Z,"Scotia Sea",earthquake
1998-10-27T16:47:47.310Z,-56.08,-26.712,33,4.9,mb,,,,1.05,us,usp0008x54,2014-11-07T01:06:18.070Z,"South Sandwich Islands region",earthquake
1998-10-13T04:46:51.210Z,-60.449,-26.419,33,4.4,mb,,,,1.07,us,usp0008wf1,2014-11-07T01:06:14.263Z,"South Sandwich Islands region",earthquake
1998-10-04T08:48:23.400Z,-56.646,-25.747,33,5.1,mb,,,,0.92,us,usp0008vyt,2014-11-07T01:06:11.707Z,"South Sandwich Islands region",earthquake
1998-10-03T19:36:59.390Z,-56.672,-25.357,33,4.6,mb,,,,0.99,us,usp0008vy4,2014-11-07T01:06:11.519Z,"South Sandwich Islands region",earthquake
1998-10-03T19:30:43.130Z,-56.605,-25.452,33,5.5,mwc,,,,0.95,us,usp0008vy1,2015-02-11T17:16:51.000Z,"South Sandwich Islands region",earthquake
1998-10-03T15:12:56.790Z,-56.705,-25.571,33,5.7,mwc,,,,1.1,us,usp0008vxx,2015-05-13T18:53:40.000Z,"South Sandwich Islands region",earthquake
1998-10-03T07:12:30.160Z,-56.649,-25.294,33,5.6,mwc,,,,0.89,us,usp0008vx9,2015-02-11T17:16:51.000Z,"South Sandwich Islands region",earthquake
1998-10-03T06:48:12.760Z,-56.618,-25.352,33,5.8,mwc,,,,1.05,us,usp0008vx8,2015-05-13T18:53:40.000Z,"South Sandwich Islands region",earthquake
1998-10-03T06:00:07.570Z,-56.61,-25.398,33,5.4,mwc,,,,1.05,us,usp0008vx1,2015-02-11T17:16:51.000Z,"South Sandwich Islands region",earthquake
1998-10-03T01:13:36.140Z,-56.628,-25.502,33,5.5,mwc,,,,0.96,us,usp0008vwr,2015-02-11T17:16:51.000Z,"South Sandwich Islands region",earthquake
1998-09-28T21:32:17.540Z,-57.403,-25.986,33,4.7,mb,,,,1.08,us,usp0008vpa,2014-11-07T01:06:06.877Z,"South Sandwich Islands region",earthquake
1998-09-27T04:35:21.600Z,-55.301,-26.579,33,4.9,mb,,,,0.69,us,usp0008vk2,2014-11-07T01:06:06.444Z,"South Sandwich Islands region",earthquake
1998-09-14T03:45:07.080Z,-55.845,-25.465,33,4.2,mb,,,,1.31,us,usp0008uwp,2014-11-07T01:06:02.623Z,"South Sandwich Islands region",earthquake
1998-09-11T12:57:52.890Z,-59.049,-27.973,100,4.2,mb,,,,1.08,us,usp0008use,2014-11-07T01:06:01.884Z,"South Sandwich Islands region",earthquake
1998-09-09T01:52:10.020Z,-56.101,-27.051,33,4.4,mb,,,,1.08,us,usp0008un7,2014-11-07T01:06:01.416Z,"South Sandwich Islands region",earthquake
1998-09-05T07:47:04.720Z,-60.231,-26.638,33,4.7,mb,,,,1.1,us,usp0008uf9,2014-11-07T01:06:00.681Z,"South Sandwich Islands region",earthquake
1998-09-01T10:29:49.060Z,-58.206,-26.533,151.7,5.6,mwc,,,,0.66,us,usp0008u7f,2015-02-11T17:16:50.000Z,"South Sandwich Islands region",earthquake
1998-08-31T03:19:39.330Z,-56.142,-27.602,79.1,5,mb,,,,0.76,us,usp0008u52,2014-11-07T01:05:55.405Z,"South Sandwich Islands region",earthquake
1998-08-29T08:30:21.120Z,-55.737,-27.045,33,6,mwc,,,,0.81,us,usp0008u1m,2015-05-13T18:53:40.000Z,"South Sandwich Islands region",earthquake
1998-08-28T05:26:25.310Z,-58.859,-24.753,33,4.4,mb,,,,1.46,us,usp0008tzr,2014-11-07T01:05:53.856Z,"South Sandwich Islands region",earthquake
1998-08-27T09:11:48.040Z,-57.563,-66.237,10,4.8,ms,,,,0.7,us,usp0008tyc,2014-11-07T01:05:53.747Z,"Drake Passage",earthquake
1998-08-25T14:50:57.380Z,-55.731,-27.714,100,4.7,mb,,,,1.15,us,usp0008tv6,2014-11-07T01:05:53.165Z,"South Sandwich Islands region",earthquake
1998-08-14T16:31:15.670Z,-58.762,-25.066,33,4.8,mb,,,,0.96,us,usp0008t8t,2014-11-07T01:05:48.962Z,"South Sandwich Islands region",earthquake
1998-08-13T05:54:56.830Z,-58.786,-24.875,33,5.5,mwc,,,,0.97,us,usp0008t69,2015-02-11T17:16:50.000Z,"South Sandwich Islands region",earthquake
1998-08-09T20:03:30.790Z,-58.767,-25.349,33,4.9,mb,,,,0.76,us,usp0008t10,2014-11-07T01:05:48.034Z,"South Sandwich Islands region",earthquake
